department,satisfaction,monthly_hours,years_at_company,salary_band,overtime,left_company
engineering,0.315,185.2,12,low,0,1
operations,0.267,193.3,5,medium,0,0
sales,0.866,169.3,14,high,1,0
operations,0.336,214.1,14,high,0,0
support,0.4,174.7,5,medium,1,0
sales,0.161,183.4,0,medium,0,1
sales,0.521,128.2,2,high,0,0
engineering,0.778,,11,medium,0,0
sales,0.595,150.2,10,low,1,0
engineering,0.2,166.2,12,medium,0,0
engineering,0.9,,12,medium,1,1
sales,0.131,171.2,0,medium,1,1
engineering,0.348,170.0,1,high,1,1
sales,0.797,194.2,14,high,1,0
support,0.839,162.8,5,high,0,0
support,0.64,188.7,7,low,0,0
support,0.861,155.0,4,medium,1,0
support,0.538,174.1,10,medium,1,0
support,0.695,149.0,13,high,1,0
sales,0.853,170.1,5,low,0,0
engineering,0.546,168.7,6,low,0,0
engineering,0.196,117.9,4,low,1,0
support,0.408,173.8,3,medium,1,1
engineering,0.515,169.4,9,medium,0,0
operations,0.405,145.2,13,low,0,0
operations,0.485,179.6,5,high,1,0
operations,0.131,168.2,12,low,0,0
sales,0.761,163.6,12,high,0,0
sales,0.493,186.9,12,low,1,0
sales,0.769,125.2,13,low,0,0
operations,0.575,148.0,11,low,0,0
sales,0.999,196.4,11,low,1,0
support,0.524,150.7,6,low,1,0
operations,0.658,202.2,10,low,0,0
operations,0.35,138.5,8,medium,0,0
operations,0.663,131.3,6,medium,1,0
sales,0.968,181.9,0,medium,0,0
sales,0.151,187.0,4,low,0,1
support,0.641,240.8,13,low,1,0
sales,0.543,191.8,10,medium,0,0
support,0.319,167.6,12,high,0,0
sales,0.304,203.3,12,medium,0,0
engineering,0.199,163.6,5,medium,0,0
support,0.145,139.7,11,low,0,1
engineering,0.369,172.6,6,low,0,0
operations,0.757,191.4,9,high,1,0
engineering,0.849,192.8,1,medium,1,0
operations,0.147,191.5,5,low,0,0
sales,0.249,164.7,4,high,0,0
sales,0.9,211.5,6,high,1,0
sales,0.311,121.6,14,low,0,0
operations,0.486,141.4,9,medium,0,0
engineering,0.52,154.9,14,medium,0,0
engineering,0.579,135.6,13,low,0,0
support,0.358,148.1,10,low,0,1
support,0.951,119.1,12,medium,1,0
operations,0.198,162.3,10,medium,0,0
sales,0.359,140.5,13,high,1,0
operations,0.531,205.5,14,medium,0,0
engineering,0.378,182.9,3,medium,1,0
sales,0.151,141.6,9,high,1,0
support,0.527,193.9,3,medium,0,0
sales,0.686,138.4,11,medium,0,0
engineering,0.526,152.5,1,medium,1,1
engineering,0.168,153.5,2,low,1,0
sales,0.361,166.9,4,medium,0,1
operations,0.46,171.5,4,medium,0,0
sales,0.187,197.2,14,low,0,1
sales,0.786,197.0,2,medium,1,0
engineering,0.216,151.7,11,low,0,1
engineering,0.506,218.7,2,high,0,0
engineering,0.542,,14,low,0,0
support,0.869,187.0,11,low,0,0
support,0.935,186.5,7,medium,0,0
operations,0.949,213.8,14,low,0,0
engineering,0.477,157.3,13,medium,1,0
operations,0.293,141.4,2,medium,1,1
support,0.122,178.6,3,medium,1,0
sales,0.227,110.2,7,low,1,1
operations,0.874,115.2,12,low,0,0
support,0.353,167.9,6,low,0,1
support,0.318,154.4,13,medium,1,0
engineering,0.841,141.3,7,high,0,0
sales,0.775,154.4,11,low,1,0
engineering,0.605,201.9,1,low,0,0
support,0.521,140.5,4,medium,0,0
operations,0.105,140.1,12,low,1,1
support,0.752,171.4,1,low,1,0
operations,0.905,,0,medium,0,0
engineering,0.676,194.8,5,low,0,0
operations,0.454,196.9,6,high,0,0
engineering,0.995,194.4,6,medium,0,0
engineering,0.165,144.3,7,medium,0,0
